I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
4.3,0.7302750222946218,0.39258203070625836,3.127210311098377,0.7272582118833435,0.011092564588721699,0.014109374999999999,6.6083478188932245e-06,7.93001738267187e-05,5.232192709051132e-06,2.1617896889016226
4.4,0.7301001902026699,0.3924049052001855,3.198492382286712,0.7269300868833436,0.011267396680673628,0.0144375,6.762030326309347e-06,8.114436391571217e-05,5.353871609261624e-06,2.2135076177132884
4.5,0.7299292872562773,0.3922277796941126,3.269708828475046,0.7266019618833436,0.011438299627066321,0.014765625,6.915712833725468e-06,8.298855400470562e-05,5.4755505094721155e-06,2.2652911715249537
4.6,0.7297621407244141,0.3920506541880397,3.3408596496633796,0.7262738368833435,0.011605446158929325,0.015093749999999998,7.0693953411415896e-06,8.483274409369908e-05,5.597229409682607e-06,2.31714035033662
4.7,0.7295985890217653,0.39187352868196684,3.411944845851715,0.7259457118833436,0.011768997861578276,0.015421875,7.223077848557711e-06,8.667693418269253e-05,5.718908309893099e-06,2.369055154148285
4.8,0.7294384807699611,0.39169640317589394,3.482964417040049,0.7256175868833435,0.011929106113382461,0.01575,7.376760355973833e-06,8.852112427168599e-05,5.840587210103589e-06,2.421035582959951
4.9,0.729281673955613,0.3915192776698211,3.5539183632283837,0.7252894618833435,0.012085912927730532,0.016078125000000002,7.530442863389955e-06,9.036531436067946e-05,5.962266110314081e-06,2.473081636771617
5.0,0.7291280351734127,0.3913421521637482,3.6248066844167175,0.7249613368833435,0.012239551709930836,0.01640625,7.684125370806076e-06,9.220950444967291e-05,6.0839450105245725e-06,2.5251933155832824
5.1,0.7289774389441879,0.39116502665767533,3.6956293806050518,0.7246332118833435,0.01239014793915568,0.016734375,7.837807878222197e-06,9.405369453866637e-05,6.205623910735064e-06,2.577370619394948
5.2,0.7288297670991793,0.39098790115160253,3.766386451793387,0.7243050868833436,0.012537819784164241,0.0170625,7.99149038563832e-06,9.589788462765983e-05,6.327302810945556e-06,2.6296135482066134
5.3,0.7286849082229695,0.39081077564552963,3.837077897981721,0.7239769618833436,0.012682678660374046,0.017390625,8.145172893054439e-06,9.774207471665327e-05,6.448981711156047e-06,2.681922102018279
5.4,0.7285427571484834,0.3906336501394567,3.907703719170055,0.7236488368833435,0.012824829734860132,0.017718750000000002,8.298855400470562e-06,9.958626480564676e-05,6.570660611366539e-06,2.734296280829945
5.5,0.7284032144983277,0.39045652463338376,3.978263915358389,0.7233207118833435,0.012964372385015813,0.018046875,8.452537907886683e-06,0.0001014304548946402,6.6923395115770295e-06,2.786736084641611
5.6,0.7282661862674579,0.39027939912731097,4.048758486546724,0.7229925868833436,0.01310140061588566,0.018375,8.606220415302804e-06,0.00010327464498363366,6.81401841178752e-06,2.839241513453276
5.7,0.7281315834427833,0.3901022736212381,4.119187432735059,0.7226644618833435,0.013236003440560263,0.018703125,8.759902922718927e-06,0.00010511883507262713,6.935697311998013e-06,2.891812567264942
