I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
40.0,54.23080667338646,0.3943669095100607,2165.5475735016453,54.13868933754113,2.0701180332932854,2.041130135325395,2164.0524264983546
40.1,54.23060391308542,0.394362356506942,2170.9363784810475,54.138064301273005,2.069870746576872,2.0409905173731047,2169.4876215189524
40.2,54.23040113086388,0.3943578055081627,2176.325069514455,54.13743954016057,2.0696234598604586,2.040850899420814,2174.922930485545
40.3,54.23019832671695,0.39435325650293396,2181.7136466247275,54.136815052722774,2.069376173144046,2.040711281468524,2180.3583533752717
40.4,54.2299955006397,0.3943487094805472,2187.1021098345764,54.136190837489515,2.0691288864276323,2.0405716635162343,2185.7938901654234
40.5,54.22979265262719,0.3943441644303724,2192.490459166562,54.135566893001524,2.068881599711219,2.0404320455639438,2191.229540833438
40.6,54.22958978267449,0.39433962134185846,2197.878694643099,54.134943217810324,2.068634312994806,2.0402924276116536,2196.6653053569007
40.7,54.22938689077668,0.3943350802045317,2203.2668162864593,54.13431981047811,2.0683870262783923,2.0401528096593635,2202.1011837135406
40.8,54.22918397692883,0.39433054100799503,2208.6548241187643,54.13369666957756,2.0681397395619796,2.040013191707073,2207.5371758812353
40.9,54.22898104112599,0.3943260037419278,2214.042718161996,54.13307379369184,2.067892452845566,2.0398735737547833,2212.9732818380035
41.0,54.22877808336325,0.3943214683960845,2219.4304984379937,54.13245118141448,2.067645166129153,2.039733955802493,2218.409501562006
41.1,54.228575103635656,0.3943169349602942,2224.8181649684516,54.13182883134919,2.0673978794127397,2.0395943378502026,2223.845835031548
41.2,54.22837210193827,0.39431240342445995,2230.2057177749266,54.13120674210986,2.0671505926963265,2.0394547198979125,2229.2822822250737
41.3,54.22816907826616,0.39430787377855797,2235.5931568788337,54.13058491232044,2.0669033059799133,2.039315101945623,2234.7188431211657
41.4,54.227966032614376,0.39430334601263667,2240.980482301451,54.12996334061476,2.0666560192635,2.0391754839933323,2240.155517698549
41.5,54.227762964977984,0.39429882011681655,2246.367694063918,54.129342025636575,2.0664087325470866,2.039035866041042,2245.592305936082
41.6,54.22755987535202,0.3942942960812891,2251.7547921872374,54.12872096603936,2.0661614458306734,2.038896248088752,2251.0292078127627
41.7,54.22735676373156,0.3942897738963159,2257.141776692277,54.12810016048625,2.0659141591142602,2.038756630136462,2256.4662233077233
41.8,54.22715363011164,0.3942852535522286,2262.5286475997677,54.127479607649946,2.065666872397847,2.038617012184172,2261.903352400232
