I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
4.5,3.0116560618934525,0.40147073337527445,14.091622741472134,3.131471720327141,2.1684004526859315,2.6689267927484472,2.096620338522535,13.583377258527868
4.6,3.0116559261745186,0.4012972631069552,14.398545800277553,3.130118652234251,2.1683864023043173,2.6689094991531186,2.0966124056843367,13.891454199722446
4.7,3.0116557904550705,0.40112668783223043,14.705304375929568,3.1287881650913976,2.168372351922703,2.6688922055577904,2.0966044728461384,14.199695624070433
4.8,3.01165565473511,0.4009588856428278,15.011900678467471,3.1274793080140566,2.1683583015410886,2.6688749119624617,2.09659654000794,14.50809932153253
4.9,3.011655519014635,0.40079374217229574,15.318336825825146,3.126191188943907,2.168344251159474,2.668857618367133,2.0965886071697417,14.816663174174858
5.0,3.0116553832936472,0.4006311499864565,15.624614849471804,3.124922969894361,2.1683302007778598,2.6688403247718044,2.0965806743315434,15.125385150528196
5.1,3.011655247572145,0.4004710080342206,15.930736699601294,3.1236738626669207,2.168316150396245,2.668823031176476,2.096572741493345,15.434263300398705
5.2,3.0116551118501302,0.4003132211517323,16.236704249914265,3.122443124983512,2.168302100014631,2.668805737581147,2.0965648086551467,15.74329575008574
5.3,3.011654976127601,0.40015769961374775,16.542519302032332,3.121230056987233,2.1682880496330164,2.668788443985819,2.0965568758169484,16.052480697967667
5.4,3.011654840404559,0.4000043587269487,16.848183589579083,3.1200339980702,2.168273999251402,2.6687711503904903,2.09654894297875,16.36181641042092
5.5,3.0116547046810034,0.39985311846057237,17.153698781958557,3.1188543239924646,2.1682599488697876,2.6687538567951616,2.0965410101405517,16.671301218041446
5.6,3.011654568956934,0.39970390311032467,17.459066487858983,3.117690444260533,2.1682458984881734,2.6687365631998334,2.0965330773023534,16.980933512141018
5.7,3.0116544332323514,0.39955664099203997,17.7642882585061,3.1165417997379117,2.1682318481065592,2.668719269604505,2.096525144464155,17.290711741493904
5.8,3.0116542975072544,0.3994112641619831,18.069365590688115,3.1154078604634683,2.1682177977249446,2.668701976009176,2.0965172116259567,17.600634409311887
5.9,3.0116541617816446,0.39926770816106216,18.374299929572082,3.114288123656285,2.16820374734333,2.6686846824138475,2.0965092787877584,17.91070007042792
6.0,3.0116540260555213,0.3991259117805369,18.67909267132913,3.113182111888188,2.168189696961716,2.668667388818519,2.0965013459495605,18.220907328670872
6.1,3.0116538903288843,0.3989858168470951,18.983745165584786,3.112089371407342,2.168175646580101,2.6686500952231906,2.096493413111362,18.531254834415215
6.2,3.011653754601733,0.3988473680254032,19.2882587177085,3.1110094705981455,2.168161596198487,2.668632801627862,2.096485480273164,18.8417412822915
6.3,3.011653618874069,0.3987105126364566,19.59263459095548,3.109941998564362,2.1681475458168724,2.6686155080325333,2.0964775474349655,19.15236540904452
6.4,3.011653483145891,0.3985752004902329,19.896874008472427,3.1088865638238166,2.1681334954352582,2.668598214437205,2.096469614596767,19.463125991527576
6.5,3.0116533474172,0.3984413837313207,20.200978155177964,3.107842793104302,2.168119445053644,2.6685809208418765,2.096461681758569,19.774021844822038
6.6,3.0116532116879946,0.3983090166963344,20.504948179527297,3.1068103302314087,2.1681053946720295,2.668563627246548,2.0964537489203705,20.085051820472703
6.7,3.011653075958276,0.3981780557820495,20.80878519516991,3.1057888350999865,2.1680913442904153,2.668546333651219,2.096445816082172,20.396214804830095
6.8,3.011652940228044,0.3980484593233074,21.112490282508226,3.104777982721798,2.1680772939088007,2.6685290400558905,2.096437883243974,20.707509717491774
6.9,3.011652804497298,0.39792018747983376,21.416064490164658,3.1037774623427037,2.1680632435271865,2.668511746460562,2.0964299504057755,21.018935509835348
7.0,3.0116526687660383,0.39779320213119956,21.7195088363635,3.102786976623357,2.168049193145572,2.6684944528652337,2.096422017567577,21.330491163636506
7.1,3.0116525330342654,0.3976674667792331,22.02282431023393,3.1018062408780183,2.1680351427639573,2.668477159269905,2.096414084729379,21.642175689766074
7.2,3.0116523973019786,0.3975429464572562,22.326011873039512,3.1008349823665986,2.168021092382343,2.6684598656745764,2.0964061518911805,21.953988126960493
7.3,3.0116522615691785,0.3974196076455816,22.629072459339415,3.0998729396355365,2.168007042000729,2.668442572079248,2.096398219052982,22.265927540660584
7.4,3.0116521258358646,0.39729741819275866,22.932006978086033,3.098919861903518,2.1679929916191143,2.6684252784839195,2.096390286214784,22.577993021913972
7.5,3.0116519901020373,0.3971763472421057,23.234816313663185,3.0979755084884246,2.1679789412375,2.668407984888591,2.0963823533765855,22.89018368633682
7.6,3.0116518543676962,0.39705636516310694,23.53750132686898,3.0970396482722347,2.1679648908558855,2.6683906912932622,2.096374420538387,23.202498673131018
7.7,3.0116517186328413,0.39693744348729576,23.840062855846984,3.096112059200907,2.1679508404742713,2.6683733976979336,2.0963664877001893,23.51493714415302
7.8,3.0116515828974726,0.3968195548482727,24.142501716968912,3.0951925278165273,2.1679367900926567,2.6683561041026054,2.096358554861991,23.82749828303109
7.9,3.011651447161591,0.39670267292554584,24.444818705672137,3.094280848819258,2.1679227397110425,2.6683388105072767,2.0963506220237926,24.140181294327867
8.0,3.0116513114251955,0.3965867723919027,24.74701459725473,3.093376824656841,2.167908689329428,2.668321516911948,2.0963426891855943,24.452985402745274
8.1,3.0116511756882858,0.3964718288640513,25.04909014763076,3.0924802651396,2.1678946389478138,2.66830422331662,2.096334756347396,24.76590985236924
8.2,3.0116510399508627,0.39635781885629046,25.351046094048336,3.0915909870790657,2.1678805885661996,2.6682869297212912,2.0963268235091976,25.07895390595166
8.3,3.0116509042129262,0.39624471973698705,25.65288315577255,3.0907088139484995,2.167866538184585,2.6682696361259626,2.0963188906709993,25.39211684422746
8.4,3.011650768474476,0.3961325096876599,25.95460203473548,3.0898335755637474,2.1678524878029704,2.668252342530634,2.096310957832801,25.705397965264527
8.5,3.011650632735512,0.39602116766448536,26.25620341615538,3.088965107782986,2.167838437421356,2.6682350489353053,2.0963030249946026,26.018796583844622
8.6,3.0116504969960345,0.395910673362054,26.55768796912658,3.088103252224021,2.1678243870397416,2.668217755339977,2.0962950921564043,26.33231203087342
8.7,3.0116503612560432,0.39580100717922184,26.85905634718199,3.0872478559979304,2.1678103366581274,2.6682004617446484,2.096287159318206,26.645943652818005
8.8,3.011650225515538,0.39569215018691417,27.160309188829793,3.086398771457931,2.1677962862765128,2.6681831681493198,2.0962792264800076,26.959690811170216
8.9,3.0116500897745198,0.39558408409774765,27.461447118065646,3.085555855962432,2.1677822358948986,2.668165874553991,2.0962712936418093,27.27355288193436
9.0,3.011649954032987,0.3954767912373495,27.76247074486194,3.0847189716513266,2.1677681855132844,2.668148580958663,2.096263360803611,27.587529255138065
9.1,3.011649818290941,0.39537025451726254,28.063380665635297,3.083887985234648,2.16775413513167,2.6681312873633343,2.0962554279654126,27.901619334364707
9.2,3.0116496825483816,0.39526445740932886,28.364177463693437,3.0830627677927653,2.1677400847500556,2.6681139937680056,2.0962474951272143,28.21582253630656
9.3,3.0116495468053084,0.3951593839214607,28.664861709662766,3.082243194587394,2.167726034368441,2.668096700172677,2.096239562289016,28.53013829033724
9.4,3.0116494110617213,0.3950550185747051,28.965433961897382,3.0814291448827,2.1677119839868264,2.6680794065773483,2.096231629450818,28.844566038102624
9.5,3.0116492753176205,0.39495134638152296,29.26589476687085,3.080620501775879,2.1676979336052122,2.66806211298202,2.0962236966126198,29.15910523312915
9.6,3.011649139573006,0.39484835282520564,29.566244659551398,3.079817152036604,2.1676838832235976,2.6680448193866915,2.0962157637744214,29.473755340448605
9.7,3.011649003827878,0.3947460238403574,29.86648416376144,3.079018985954788,2.1676698328419834,2.668027525791363,2.096207830936223,29.788515836238556
9.8,3.0116488680822364,0.39464434579437946,30.16661379252237,3.07822589719616,2.1676557824603693,2.6680102321960346,2.0961998980980248,30.10338620747764
9.9,3.0116487323360803,0.39454330546989325,30.46663404838516,3.0774377826651675,2.1676417320787547,2.667992938600706,2.0961919652598264,30.418365951614845
10.0,3.011648596589411,0.3944428900480482,30.76654542374776,3.076654542374776,2.1676276816971405,2.6679756450053773,2.096184032421628,30.733454576252242
10.1,3.0116484608422276,0.39434308709265853,31.06634840115964,3.075876079322737,2.167613631315526,2.6679583514100487,2.0961760995834298,31.04865159884036
10.2,3.0116483250945314,0.3942438845351228,31.366043453614374,3.0751022993739583,2.1675995809339117,2.66794105781472,2.0961681667452314,31.363956546385626
10.3,3.011648189346321,0.3941452706600779,31.665631044830665,3.074333111148608,2.167585530552297,2.667923764219392,2.096160233907033,31.679368955169345
10.4,3.0116480535975967,0.39404723409174736,31.96511162952255,3.0735684259156297,2.1675714801706825,2.667906470624063,2.0961523010688348,31.994888370477454
10.5,3.0116479178483586,0.3939497637809423,32.26448565365918,3.0728081574913504,2.1675574297890683,2.6678891770287345,2.0961443682306364,32.310514346340824
10.6,3.0116477820986063,0.3938528489926781,32.56375355471462,3.072052222142889,2.1675433794074537,2.667871883433406,2.096136435392438,32.626246445285375
10.7,3.0116476463483415,0.3937564792943734,32.862915761908404,3.071300538496113,2.1675293290258395,2.6678545898380777,2.0961285025542398,32.942084238091596
10.8,3.011647510597562,0.3936606445445967,33.161972696436834,3.0705530274478545,2.1675152786442253,2.667837296242749,2.0961205697160414,33.258027303563175
10.9,3.011647374846269,0.39356533488233325,33.46092477169597,3.0698096120821994,2.1675012282626107,2.6678200026474204,2.096112636877843,33.57407522830403
11.0,3.0116472390944624,0.3934705407167404,33.75977239349633,3.0690702175905753,2.1674871778809965,2.6678027090520917,2.0961047040396448,33.89022760650368
11.1,3.011647103342142,0.3933762527173677,34.0585159602697,3.0683347711954685,2.167473127499382,2.667785415456763,2.096096771201447,34.206484039730306
11.2,3.0116469675893076,0.393282461804815,34.35715586326864,3.0676032020775574,2.1674590771177678,2.667768121861435,2.0960888383632486,34.52284413673136
11.3,3.0116468318359595,0.3931891591418061,34.655692486758795,3.0668754413060877,2.167445026736153,2.667750828266106,2.09608090552505,34.839307513241216
11.4,3.0116466960820976,0.39309633612465494,34.95412620820433,3.066151421772309,2.1674309763545385,2.6677335346707776,2.096072972686852,35.15587379179568
11.5,3.011646560327722,0.39300398437510586,35.252457398447,3.065431078125826,2.167416925972925,2.6677162410754494,2.0960650398486536,35.472542601553
11.6,3.011646424572833,0.39291209573252545,35.5506864218789,3.0647143467136986,2.16740287559131,2.6676989474801207,2.0960571070104552,35.7893135781211
11.7,3.0116462888174302,0.3928206622464305,35.84881363660924,3.064001165522158,2.1673888252096956,2.667681653884792,2.096049174172257,36.106186363390755
11.8,3.011646153061513,0.3927296761693339,36.1468393946255,3.063291474120805,2.1673747748280814,2.6676643602894634,2.0960412413340586,36.42316060537451
11.9,3.0116460173050816,0.39263912994989236,36.444764041949014,3.0625852136091605,2.1673607244464668,2.6676470666941348,2.0960333084958602,36.740235958050995
12.0,3.0116458815481377,0.3925490162263404,36.74258791878547,3.061882326565456,2.1673466740648526,2.6676297730988066,2.096025375657662,37.05741208121454
12.1,3.011645745790679,0.3924593278201973,37.04031135967023,3.0611827569975394,2.167332623683238,2.667612479503478,2.0960174428194636,37.37468864032978
12.2,3.011645610032707,0.3923700577302328,37.33793469360896,3.0604864502958162,2.167318573301624,2.6675951859081493,2.0960095099812652,37.692065306391044
12.3,3.011645474274221,0.3922811991266791,37.635458244213595,3.059793353188097,2.167304522920009,2.6675778923128206,2.096001577143067,38.009541755786415
12.4,3.0116453385152213,0.39219274534567766,37.932882329833944,3.0591034136962856,2.167290472538395,2.6675605987174924,2.0959936443048686,38.32711767016607
12.5,3.011645202755708,0.3921046898839478,38.23020726368492,3.0584165810947934,2.167276422156781,2.6675433051221638,2.0959857114666702,38.64479273631509
12.6,3.0116450669956807,0.39201702639366987,38.52743335396988,3.0577328058706255,2.1672623717751662,2.667526011526835,2.095977778628472,38.962566646030126
12.7,3.0116449312351397,0.39192974867756786,38.824560903999874,3.0570520396850296,2.1672483213935516,2.6675087179315065,2.0959698457902736,39.28043909600013
12.8,3.0116447954740844,0.3918428506841872,39.12159021230926,3.0563742353366607,2.1672342710119374,2.6674914243361783,2.0959619129520757,39.59840978769075
12.9,3.0116446597125153,0.39175632650335573,39.41852157276766,3.055699346726175,2.167220220630323,2.6674741307408496,2.0959539801138773,39.91647842723235
13.0,3.0116445239504324,0.39167017036181867,39.71535527468841,3.055027328822186,2.1672061702487087,2.667456837145521,2.095946047275679,40.23464472531159
